2023.10.20	13:35:00	1979.165	1979.852	1977.872	1978.452	856	0	200
2023.10.20	13:40:00	1978.506	1979.287	1977.420	1979.147	928	0	200
2023.10.20	13:45:00	1979.180	1983.737	1979.180	1982.714	1135	0	200
2023.10.20	13:50:00	1982.762	1985.324	1982.762	1985.252	832	0	200
2023.10.20	13:55:00	1985.285	1987.981	1984.330	1987.096	843	0	200
2023.10.20	14:00:00	1987.064	1989.281	1987.064	1987.290	953	0	200
2023.10.20	14:05:00	1987.262	1990.766	1987.262	1989.319	941	0	200
2023.10.20	14:10:00	1989.348	1991.200	1987.360	1990.496	1005	0	200
2023.10.20	14:15:00	1990.464	1990.737	1984.147	1985.031	1438	0	200
2023.10.20	14:20:00	1984.961	1987.753	1984.799	1986.934	823	0	200
2023.10.20	14:25:00	1986.964	1988.589	1986.748	1988.432	701	0	200
2023.10.20	14:30:00	1988.402	1990.946	1988.262	1989.642	723	0	200
2023.10.20	14:35:00	1989.611	1989.683	1987.665	1989.330	699	0	200
2023.10.20	14:40:00	1989.355	1989.782	1988.381	1988.872	794	0	200
2023.10.20	14:45:00	1988.838	1989.411	1988.232	1988.602	661	0	200
2023.10.20	14:50:00	1988.633	1991.230	1988.159	1991.025	669	0	200
2023.10.20	14:55:00	1991.055	1991.224	1990.055	1990.865	606	0	200
2023.10.20	15:00:00	1990.896	1993.008	1989.792	1992.416	586	0	200
2023.10.20	15:05:00	1992.446	1993.592	1992.214	1993.467	541	0	200
2023.10.20	15:10:00	1993.497	1993.858	1992.343	1993.826	540	0	200
2023.10.20	15:15:00	1993.763	1994.909	1993.159	1993.653	525	0	200
2023.10.20	15:20:00	1993.683	1996.519	1993.568	1995.979	544	0	200
2023.10.20	15:25:00	1996.011	1997.142	1995.922	1996.623	493	0	200
2023.10.20	15:30:00	1996.653	1996.653	1992.901	1993.034	690	0	200
2023.10.20	15:35:00	1993.066	1994.969	1992.961	1993.575	699	0	200
2023.10.20	15:40:00	1993.614	1995.892	1993.411	1995.824	499	0	200
2023.10.20	15:45:00	1995.904	1995.988	1994.304	1994.900	466	0	200
2023.10.20	15:50:00	1994.908	1994.996	1991.896	1992.663	642	0	200
2023.10.20	15:55:00	1992.631	1992.631	1990.735	1991.599	583	0	200
2023.10.20	16:00:00	1991.582	1992.388	1989.999	1990.092	632	0	200
2023.10.20	16:05:00	1990.021	1990.100	1987.586	1989.285	728	0	200
2023.10.20	16:10:00	1989.253	1989.489	1987.843	1988.331	461	0	200
2023.10.20	16:15:00	1988.300	1989.834	1987.560	1989.658	528	0	200
2023.10.20	16:20:00	1989.623	1989.692	1988.863	1989.682	451	0	200
2023.10.20	16:25:00	1989.670	1990.757	1989.380	1990.709	412	0	200
2023.10.20	16:30:00	1990.740	1991.368	1990.613	1991.008	409	0	200
2023.10.20	16:35:00	1991.039	1991.599	1990.549	1990.628	371	0	200
2023.10.20	16:40:00	1990.640	1990.794	1989.213	1989.547	409	0	200
2023.10.20	16:45:00	1989.546	1989.725	1985.108	1985.295	575	0	200
2023.10.20	16:50:00	1985.331	1985.737	1982.181	1983.936	861	0	200
2023.10.20	16:55:00	1983.904	1983.918	1981.110	1982.562	728	0	200
2023.10.20	17:00:00	1982.561	1984.131	1981.722	1983.711	609	0	200
2023.10.20	17:05:00	1983.743	1985.277	1982.622	1984.785	542	0	200
2023.10.20	17:10:00	1984.827	1986.644	1984.827	1985.969	585	0	200
2023.10.20	17:15:00	1985.973	1986.162	1974.302	1974.668	1696	0	200
2023.10.20	17:20:00	1974.729	1978.770	1974.366	1977.882	1554	0	200
2023.10.20	17:25:00	1977.851	1983.396	1977.672	1982.612	1286	0	200
2023.10.20	17:30:00	1982.579	1982.856	1981.294	1982.332	623	0	200
2023.10.20	17:35:00	1982.327	1983.417	1981.872	1983.059	529	0	200
2023.10.20	17:40:00	1983.053	1984.609	1982.785	1983.758	543	0	200
2023.10.20	17:45:00	1983.797	1984.138	1982.801	1982.867	479	0	200
2023.10.20	17:50:00	1982.836	1983.374	1981.896	1982.707	468	0	200
2023.10.20	17:55:00	1982.695	1983.005	1981.573	1982.459	379	0	200
2023.10.20	18:00:00	1982.458	1982.698	1979.448	1980.293	560	0	200
2023.10.20	18:05:00	1980.324	1980.668	1979.381	1979.753	491	0	200
2023.10.20	18:10:00	1979.747	1980.259	1975.997	1976.368	836	0	200
2023.10.20	18:15:00	1976.413	1978.981	1976.413	1978.077	550	0	200
2023.10.20	18:20:00	1978.111	1978.246	1976.145	1976.669	514	0	200
2023.10.20	18:25:00	1976.699	1978.594	1976.601	1978.594	425	0	200
2023.10.20	18:30:00	1978.587	1979.920	1978.578	1979.586	342	0	200
2023.10.20	18:35:00	1979.618	1979.909	1978.943	1979.909	366	0	200
2023.10.20	18:40:00	1979.898	1980.045	1979.292	1979.513	322	0	200
2023.10.20	18:45:00	1979.512	1980.827	1979.381	1980.824	298	0	200
2023.10.20	18:50:00	1980.790	1981.143	1980.452	1980.596	295	0	200
2023.10.20	18:55:00	1980.590	1981.096	1980.039	1980.257	325	0	200
2023.10.20	19:00:00	1980.250	1980.347	1978.858	1979.467	368	0	200
2023.10.20	19:05:00	1979.458	1981.224	1979.172	1980.830	319	0	200
2023.10.20	19:10:00	1980.836	1982.047	1980.748	1981.026	360	0	200
2023.10.20	19:15:00	1981.059	1981.689	1980.766	1981.167	294	0	200
2023.10.20	19:20:00	1981.160	1981.578	1980.794	1981.553	284	0	200
2023.10.20	19:25:00	1981.523	1981.566	1980.868	1981.561	270	0	200
2023.10.20	19:30:00	1981.578	1981.764	1980.671	1980.735	311	0	200
2023.10.20	19:35:00	1980.784	1981.091	1980.577	1980.775	260	0	200
2023.10.20	19:40:00	1980.786	1981.997	1980.705	1980.705	335	0	200
2023.10.20	19:45:00	1980.739	1980.948	1979.585	1979.753	329	0	200
2023.10.20	19:50:00	1979.750	1979.956	1978.975	1979.849	354	0	200
2023.10.20	19:55:00	1979.856	1980.014	1979.152	1979.617	329	0	200
2023.10.20	20:00:00	1979.587	1980.373	1979.556	1980.028	241	0	200
2023.10.20	20:05:00	1980.038	1980.183	1979.706	1979.904	132	0	200
2023.10.20	20:10:00	1979.904	1979.911	1979.605	1979.727	147	0	200
2023.10.20	20:15:00	1979.741	1979.758	1979.233	1979.278	167	0	200
2023.10.20	20:20:00	1979.293	1979.410	1978.925	1979.027	130	0	200
2023.10.20	20:25:00	1978.935	1979.183	1978.921	1978.969	166	0	200
2023.10.20	20:30:00	1978.961	1980.373	1978.961	1980.373	188	0	200
2023.10.20	20:35:00	1980.387	1981.107	1980.075	1980.730	203	0	200
2023.10.20	20:40:00	1980.727	1980.901	1979.650	1980.133	210	0	200
2023.10.20	20:45:00	1980.183	1980.580	1979.730	1980.281	255	0	200
2023.10.20	20:50:00	1980.272	1981.313	1980.227	1980.338	199	0	200
2023.10.20	20:55:00	1980.350	1980.932	1980.314	1980.774	98	0	200
2023.10.22	22:05:00	1972.732	1976.377	1972.732	1974.578	715	0	200
2023.10.22	22:10:00	1974.583	1975.673	1974.236	1975.661	250	0	200
2023.10.22	22:15:00	1975.658	1978.208	1975.634	1977.628	512	0	200
2023.10.22	22:20:00	1977.592	1977.684	1976.085	1976.875	365	0	200
2023.10.22	22:25:00	1976.865	1977.950	1976.803	1977.803	232	0	200
2023.10.22	22:30:00	1977.781	1978.541	1976.959	1978.209	239	0	200
2023.10.22	22:35:00	1978.183	1978.183	1976.453	1976.813	269	0	200
2023.10.22	22:40:00	1976.814	1977.254	1976.324	1976.944	216	0	200
2023.10.22	22:45:00	1976.945	1977.367	1976.765	1976.765	159	0	200
2023.10.22	22:50:00	1976.769	1977.279	1976.756	1976.765	183	0	200
2023.10.22	22:55:00	1976.751	1977.059	1976.022	1976.279	183	0	200
2023.10.22	23:00:00	1976.287	1977.543	1976.271	1976.848	264	0	200
